"","Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"2729","Master Yi","JUNGLE","Strong",76.51,12.56,51.5,92.17,7.38,19.3,1.96,12.7
"2730","Miss Fortune","ADC","God",79.12,6.7,50.7,93.74,15.61,4.05,2.26,12.7
"2731","Mordekaiser","TOP","Strong",69.31,-0.28,50.32,82.13,5.95,7.09,1.79,12.7
"2732","Mordekaiser","JUNGLE","Weak",33.72,-8.22,51.53,11.14,0.87,7.68,2.25,12.7
"2733","Morgana","SUPPORT","Strong",70.5,0.69,49.52,87.89,7.4,26.17,2.45,12.7
"2734","Nami","SUPPORT","God",84.32,5.65,52.58,99.41,11.36,2.92,3.22,12.7
"2735","Nasus","TOP","Good",54.98,-0.99,50.63,75.07,3.87,3.83,1.82,12.7
"2736","Nautilus","SUPPORT","God",84.06,0.14,50.74,97.73,11.56,16.34,2.35,12.7
"2737","Neeko","MID","Good",49.27,0.37,52.18,49.47,2.16,0.67,2.28,12.7
"2738","Neeko","SUPPORT","Weak",37.88,1.93,50.95,20,0.89,0.7,2.03,12.7
"2739","Neeko","TOP","Bad",30.81,0,49.38,21.49,0.68,0.67,1.77,12.7
"2740","Nidalee","JUNGLE","Good",54.57,1.8,49.07,89.52,5.37,4.58,2.83,12.7
"2741","Nocturne","JUNGLE","Strong",67.01,5.78,52.7,94.39,6.13,5.43,2.7,12.7
"2742","Nunu","JUNGLE","Fair",45.42,-1.62,50.55,87.77,3.07,1.52,2.79,12.7
"2743","Olaf","JUNGLE","Bad",23.55,-14.06,47.15,81.06,1.3,0.77,2.19,12.7
"2744","Olaf","TOP","Bad",12.18,-8.19,43.27,19.13,0.32,0.84,1.45,12.7
"2745","Orianna","MID","Fair",44.24,-1.91,48.42,92.09,2.42,0.18,2.48,12.7
"2746","Ornn","TOP","Strong",64.57,7.19,52.17,92.91,4.49,0.72,2.25,12.7
"2747","Pantheon","MID","Good",47.22,2.08,51.99,26.74,1.67,1.56,2.23,12.7
"2748","Pantheon","TOP","Fair",39.6,4.88,50.38,21.87,1.37,1.56,2.07,12.7
"2749","Pantheon","SUPPORT","Weak",34.35,2.78,46.21,44.24,2.81,1.56,1.9,12.7
"2750","Poppy","TOP","Fair",40.62,-1.63,51.15,32.88,1.23,1.69,2.08,12.7
"2751","Poppy","JUNGLE","Weak",36.33,-9.59,49.36,58.17,2.21,1.69,2.55,12.7
